Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy
thermometers,12,119,4.78,919.9,0.23,420.87,30,1
thermonuclear,13,223,5.41,974.17,0.85,205.14,18,0.64
thermopile,10,14,2.64,803.67,0.19,246.36,3,0.09
thermoplastic,13,62,4.13,1184.81,0.97,392.9,26,0.84
thermos,7,306,5.72,825.31,0.17,353.53,26,0.81
thermostat,10,979,6.89,830.71,0.12,335.39,31,0.94
thermostats,11,97,4.57,939.37,0.29,369.68,30,0.97
thesaurus,9,740,6.61,792.25,0.06,230.42,32,0.94
these,5,591805,13.29,706.56,-0.28,345.82,34,0.97
theses,6,856,6.75,835.75,0.23,196.53,20,0.65
thesis,6,6281,8.75,679.94,-0.23,216.98,31,0.97
thespian,8,358,5.88,783.08,0.19,216,26,0.79
thespians,9,14,2.64,680.57,-0.13,137.88,23,0.68
they,4,1617818,14.3,618.38,-0.55,291.86,34,1
they'd,6,13950,9.54,1005.83,0.59,504.9,24,0.8
they'll,7,19922,9.9,730.38,0.03,218.14,32,0.94
they're,7,83503,11.33,710.47,-0.15,293.93,30,0.97
they've,7,21101,9.96,823.25,0.03,262.9,32,1
thiamin,7,14,2.64,966.71,0.89,341.62,7,0.21
thick,5,11429,9.34,662.41,-0.63,322.77,32,0.91
thicken,7,260,5.56,690.31,-0.4,201.23,29,0.91
thickened,9,259,5.56,698.21,-0.34,191.52,34,1
thickener,9,40,3.69,860.56,0.1,457.12,27,0.87
thickeners,10,8,2.08,910.28,0.21,300.87,25,0.78
thickening,10,122,4.8,689.94,-0.35,275.9,34,0.97
thickens,8,224,5.41,705.97,-0.28,216.78,33,1
thicker,7,1582,7.37,670.79,-0.38,178.61,33,0.97
thickest,8,171,5.14,704.87,-0.14,172.45,31,0.91
thicket,7,3363,8.12,827.32,0.14,374.65,22,0.69
thickets,8,43,3.76,927.41,0.31,325.39,17,0.52
thickheaded,11,5,1.61,790.42,-0.06,322.8,31,0.94
thickly,7,197,5.28,745.09,-0.06,219.55,33,0.97
thickness,9,2209,7.7,691.78,-0.47,250.04,32,1
thicknesses,11,187,5.23,778.25,-0.16,371.5,32,1
thickwitted,11,0,0,1317.67,1.6,436.58,15,0.54
thief,5,4276,8.36,586.94,-0.75,172.51,34,1
thieve,6,15,2.71,833.52,-0.06,443.12,25,0.78
thievery,8,160,5.08,847.71,0.43,259.27,21,0.66
thieves,7,2461,7.81,684.33,-0.25,249.01,33,1
thieving,8,123,4.81,684.69,-0.26,208.18,26,0.79
thigh,5,2526,7.83,689.03,-0.35,304.16,32,0.97
thighs,6,5673,8.64,707.58,-0.4,333.16,31,0.94
thimble,7,114,4.74,715.54,-0.23,289.68,28,0.9
thin,4,14257,9.57,622.44,-0.54,213.62,34,0.97
thine,5,887,6.79,838.92,0.11,296.28,12,0.38
thing,5,243604,12.4,621.77,-0.55,177.31,35,1
thingamabob,11,32,3.47,1274.5,1.5,429.87,10,0.34
thingamajig,11,38,3.64,1245.43,1.23,456.99,7,0.23
things,6,262799,12.48,715.27,-0.5,416.44,33,1
think,5,652944,13.39,596,-0.76,218.25,32,1
thinker,7,1007,6.91,568.34,-0.73,104.53,32,0.97
thinkers,8,1176,7.07,711.03,-0.42,317.79,34,1
thinking,8,64226,11.07,615.58,-0.56,165.16,33,1
thinks,6,24130,10.09,573.35,-0.81,164.14,34,0.97
thinly,6,726,6.59,855.74,0.12,314.28,31,0.97
thinned,7,229,5.43,808.06,0.08,254.27,31,0.89
thinner,7,1985,7.59,637.63,-0.42,154.36,32,0.97
thinness,8,87,4.47,746.77,-0.07,275.15,31,0.97
thinning,8,608,6.41,712.84,-0.3,188.02,32,0.97
third,5,58366,10.97,619.94,-0.58,191.24,33,0.97
thirdly,7,789,6.67,864.71,0.21,358.17,24,0.75
thirds,6,997,6.9,718.83,-0.22,154.75,29,0.85
thirst,6,1026,6.93,629.21,-0.5,198.08,34,1
thirsted,8,10,2.3,1061.95,0.65,562.77,20,0.65
thirsty,7,919,6.82,604.69,-0.59,120.24,32,0.97
thirteen,8,1787,7.49,668.68,-0.4,244.7,34,1
thirteenth,10,448,6.1,861.44,0.25,428.76,32,1
thirties,8,774,6.65,731.79,-0.11,197.88,33,0.97
thirtieth,9,70,4.25,881,0.24,322.65,21,0.68
thirty,6,6426,8.77,739.74,-0.13,301.92,31,0.91
this,4,3251989,14.99,632.13,-0.58,212.63,32,0.97
thistle,7,473,6.16,720.83,-0.18,226.09,29,0.85
thither,7,51,3.93,868.6,0.6,220.36,10,0.3
Thomas,6,50519,10.83,632.03,-0.4,169.48,33,0.97
Thomas's,8,146,4.98,756.55,-0.16,221.1,29,0.94
Thompson,8,10393,9.25,724.21,-0.31,294.1,34,1
Thompson's,10,379,5.94,677.42,-0.28,146.87,31,0.91
Thomson,7,2128,7.66,724.83,0,219.94,24,0.73
thong,5,510,6.23,726.63,-0.21,184.11,30,0.88
Thor,4,3332,8.11,686.26,-0.29,170.82,23,0.7
thorax,6,103,4.63,743.5,0.02,186.7,26,0.81
Thoreau,7,500,6.21,795.73,0.18,236.18,22,0.63
Thoreau's,9,25,3.22,781.33,0.02,203.93,24,0.69
thorn,5,3726,8.22,726.56,-0.24,333.71,34,0.97
thorns,6,640,6.46,614.65,-0.51,126.48,31,0.94
thorny,6,543,6.3,697.03,-0.2,177.6,32,0.91
thorough,8,4747,8.47,765.43,-0.1,354.89,28,0.85
thoroughbred,12,236,5.46,910.81,0.41,376.57,26,0.84
thoroughfare,12,52,3.95,1036.72,0.59,474.29,18,0.67
thoroughfares,13,26,3.26,1046,1.11,294.65,19,0.59
thoroughgoing,13,27,3.3,1173.6,1.31,414.2,15,0.65
thoroughly,10,7520,8.93,674.06,-0.28,158.23,31,0.91
thoroughness,12,153,5.03,906.25,0.32,407.04,28,0.88
Thorpe,6,793,6.68,797.42,0.06,215.19,24,0.73
Thor's,6,107,4.67,749.87,0,250.95,23,0.68
those,5,415648,12.94,629.1,-0.52,170.68,31,0.97
thou,4,6581,8.79,857.48,0.1,358.44,21,0.64
though,6,199366,12.2,623.61,-0.51,162.84,33,1
thought,7,174954,12.07,606.5,-0.62,137.51,34,1
thoughtful,10,2448,7.8,622.38,-0.45,171.01,34,1
thoughtfully,12,478,6.17,749.15,-0.07,229.35,34,1
thoughtfulness,14,122,4.8,822.24,-0.01,354.95,34,1
thoughtless,11,352,5.86,719.73,-0.13,220.64,30,0.97
thoughtlessly,13,64,4.16,886.97,0.3,347.6,31,0.97
thoughts,8,28997,10.27,600.14,-0.54,140.07,35,1
thousand,8,16355,9.7,664.24,-0.38,232.72,33,0.97
thousandfold,12,35,3.56,1224.15,1.09,472.12,27,0.87
thousands,9,31502,10.36,569.94,-0.64,90.9,34,1
thousandth,10,105,4.65,914.93,0.28,308.68,27,0.84
thousandths,11,48,3.87,997.33,0.7,400,24,0.75
thrash,6,1137,7.04,753.45,-0.04,295.25,31,0.94
thrashed,8,545,6.3,780.38,-0.12,362.6,32,0.97
thread,6,57162,10.95,671.48,-0.33,148.79,33,0.97
threadbare,10,68,4.22,1022.36,0.66,518.84,22,0.67
threaded,8,1934,7.57,647.93,-0.35,164.76,30,0.91
threading,9,1024,6.93,649.19,-0.33,151.18,31,0.94
threadlike,10,3,1.1,740.4,-0.24,216.91,30,0.91
threads,7,14302,9.57,685.97,-0.49,363.01,34,1
threat,6,18510,9.83,611.7,-0.6,253.5,33,1
threaten,8,4138,8.33,678.12,-0.42,160.59,34,1
threatened,10,8640,9.06,696.06,-0.3,208.84,33,1
threatening,11,5532,8.62,783,-0.07,391.45,33,1
threateningly,13,23,3.14,919.48,0.59,424.74,25,0.81
threatens,9,2197,7.69,676.42,-0.49,248.62,33,0.94
threats,7,7084,8.87,694.65,-0.47,347.9,31,0.94
three,5,165169,12.01,706.55,-0.51,272.66,33,0.97
threefold,9,224,5.41,749.52,-0.06,235.44,33,0.97
threepence,10,5,1.61,907.45,0.51,251.49,22,0.73
threes,6,311,5.74,899.13,0.48,339.43,23,0.68
threesome,9,354,5.87,778.74,-0.14,253.48,31,0.97
thresh,6,39,3.66,738.47,-0.02,289.61,19,0.58
threshed,8,2,0.69,824.68,0.22,328.38,19,0.59
threshing,9,31,3.43,879.89,0.01,509.1,28,0.82
threshold,9,2994,8,699.61,-0.23,234.91,31,0.94
threw,5,6888,8.84,652.03,-0.37,138.37,31,0.91
thrice,6,806,6.69,783.22,0.1,182.78,23,0.68
thrift,6,617,6.42,725.44,-0.31,259.55,32,0.91
thrifty,7,172,5.15,721.18,-0.15,213.06,33,0.97
thrill,6,2569,7.85,660.33,-0.49,350.28,33,0.97
thrilled,8,2050,7.63,694.5,-0.33,246.51,32,1
thriller,8,726,6.59,654.69,-0.5,204.74,32,1
thrillers,9,119,4.78,671.4,-0.33,177.34,35,1
thrilling,9,562,6.33,716.44,-0.43,325.95,34,1
thrills,7,501,6.22,636.48,-0.4,191.38,31,1
thrive,6,1410,7.25,667.33,-0.43,196.44,33,1
thrived,7,266,5.58,718.97,-0.14,253.47,29,0.91
thrives,7,390,5.97,714.53,-0.19,176.76,30,0.94
thriving,8,854,6.75,752.27,-0.05,304.73,33,1
throat,6,8042,8.99,602.24,-0.62,203.57,33,0.97
throats,7,1330,7.19,657.88,-0.48,287.09,33,1
throat's,8,30,3.4,717.22,-0.29,249.89,32,0.94
throaty,7,144,4.97,806.23,0.17,333.63,26,0.81
throb,5,309,5.73,639.48,-0.52,162.31,29,0.88
throbbed,8,267,5.59,751.03,-0.11,227.1,29,0.88
throbbing,9,2006,7.6,709.97,-0.23,148.42,29,0.83
throes,6,432,6.07,818.47,0.27,260.11,15,0.44
thrombosis,10,64,4.16,948.33,0.84,341.72,15,0.48
throne,6,5951,8.69,607.53,-0.56,136.92,30,0.94
thrones,7,152,5.02,753.69,-0.12,265.1,29,0.88
throng,6,129,4.86,912.93,0.35,399.09,15,0.45
throttle,8,4162,8.33,708.45,-0.24,250.88,31,0.91
throttled,9,156,5.05,898.48,0.11,368.83,29,0.88
throttling,10,86,4.45,917.85,0.45,406.4,26,0.76
through,7,305803,12.63,616.25,-0.56,223.72,32,0.97
throughout,10,28623,10.26,733,-0.07,209.1,29,0.97
throughput,10,3366,8.12,1090.13,0.76,568.65,15,0.48
throughway,10,1,0,996.58,0.62,346.98,26,0.79
throw,5,28289,10.25,619.97,-0.58,186.8,33,0.97
throwaway,9,257,5.55,929.69,0.47,267.35,32,0.94
throwback,9,288,5.66,685.06,-0.19,194.18,34,1
thrower,7,895,6.8,818.15,-0.02,346.42,27,0.84
throwing,8,9433,9.15,686.21,-0.29,257.27,33,0.97
thrown,6,10415,9.25,619.82,-0.59,167.61,34,1
throws,6,4598,8.43,613.03,-0.52,153.72,33,0.94
thru,4,16480,9.71,824.12,0.13,307.12,25,0.76
thrum,5,24,3.18,605,-0.62,176.67,3,0.09
thrush,6,237,5.47,742.41,-0.26,355.92,22,0.69
thrust,6,5244,8.56,636.19,-0.56,153.44,36,1
thruster,8,177,5.18,812.46,0.06,289.09,24,0.75
thrusting,9,1118,7.02,762.07,-0.05,319.69,29,0.88
thrusts,7,726,6.59,670.36,-0.43,236.46,33,0.97
thruways,8,1,0,1021.57,0.93,316.35,7,0.21
thud,4,465,6.14,683.84,-0.12,184.55,25,0.74
thudding,8,44,3.78,871.69,0.36,327.34,16,0.47
thuds,5,33,3.5,680,-0.29,207.08,22,0.69
thug,4,831,6.72,709.38,-0.24,209.15,32,0.94
thuggery,8,57,4.04,1000.4,0.61,363.68,20,0.59
thugs,5,1637,7.4,690.91,-0.32,214.84,33,1
thumb,5,6586,8.79,779.09,-0.37,551.14,33,1
thumbed,7,132,4.88,864.1,0.31,318.2,30,0.94
thumbing,8,186,5.23,828.03,0.03,413.01,30,0.88
thumbnail,9,626,6.44,720.63,-0.04,237.97,32,1
thumbs,6,1793,7.49,705.71,-0.52,248.93,34,1
thumbscrew,10,16,2.77,977.89,0.52,298.74,27,0.79
thumbtack,9,29,3.37,873.39,0.29,305.52,31,0.91
thump,5,774,6.65,820.57,0.14,329.83,28,0.82
thumped,7,114,4.74,730.84,-0.16,219.72,31,0.91
thumping,8,359,5.88,696.73,-0.27,182.31,30,0.86
thunder,7,7624,8.94,684.18,-0.35,299.19,34,1
thunderbolt,11,443,6.09,825.24,0.22,313.54,33,0.97
thunderclap,11,34,3.53,834.58,0.33,256.51,26,0.87
thunderclaps,12,3,1.1,1050.83,0.77,442.59,30,0.86
thundercloud,12,7,1.95,969.97,0.52,420.05,33,1
thundered,9,103,4.63,799.03,0.01,235.8,30,0.97
thundering,10,283,5.65,747.8,-0.07,225.37,30,0.91
thunderous,10,166,5.11,760.9,-0.01,297.15,30,0.88
thunderstorm,12,342,5.83,755.03,-0.06,203.64,30,0.94
thunderstruck,13,21,3.04,892.83,0.2,374.71,30,0.94
Thursday,8,14696,9.6,673.09,-0.32,207.11,33,1
Thursday's,10,365,5.9,667.38,-0.45,170.82,32,1
thus,4,68926,11.14,694.64,-0.34,214.13,33,0.97
thwack,6,128,4.85,822.1,0.41,296.03,10,0.36
thwart,6,506,6.23,786.42,-0.04,267.78,19,0.56
thwarted,8,345,5.84,793.65,0.03,257.35,26,0.76
thwarting,9,125,4.83,811.95,0.09,261.97,21,0.64
thy,3,4670,8.45,884.95,0.43,267.09,19,0.58
thyme,5,373,5.92,801.43,0,311.19,23,0.7
thyroid,7,1186,7.08,751.3,-0.16,263.95,30,0.88
thyroidal,9,0,0,1001.67,0.99,298.78,18,0.53
thyroids,8,11,2.4,830.38,-0.01,367.85,32,0.94
tiara,5,125,4.83,828,0.02,288.57,23,0.68
Tiber,5,139,4.93,819.07,0.31,233.26,14,0.44
Tibet,5,3881,8.26,784.03,-0.22,235.11,34,1
Tibetan,7,2653,7.88,770.59,-0.03,210.99,22,0.69
tibia,5,61,4.11,823.95,0.31,180.81,20,0.61
tic,3,788,6.67,712.29,-0.24,229.16,21,0.66
tick,4,4619,8.44,750.61,-0.36,414.72,33,0.97
ticked,6,700,6.55,749.97,-0.11,256.85,32,0.91
ticker,6,507,6.23,706.53,-0.33,258.48,30,0.91
tickertape,10,9,2.2,913.3,0.79,266.96,20,0.71
ticket,6,14121,9.56,629.32,-0.64,190.49,34,1
tickets,7,15851,9.67,628.18,-0.62,243.38,33,1
ticking,7,729,6.59,770.91,-0.13,292.15,32,0.91
tickle,6,921,6.83,659.09,-0.45,217.87,34,1
tickled,7,766,6.64,601.16,-0.58,120.24,32,0.94
ticklish,8,246,5.51,740.97,-0.13,162.45,29,0.91
ticks,5,2423,7.79,647.82,-0.49,216.1,33,0.97
Ticonderoga,11,61,4.11,943.89,1.07,298.83,9,0.28
tidal,5,3515,8.16,742.75,-0.21,202.97,28,0.88
tidbit,6,962,6.87,793.38,-0.03,232.12,24,0.71
tidbits,7,1410,7.25,868.31,0.22,384.82,29,0.85
tiddlywinks,11,86,4.45,910.95,0.68,331.57,21,0.7
tide,4,3977,8.29,630,-0.57,197.16,31,1
tidemark,8,1,0,833.25,0.22,345.16,20,0.65
tides,5,922,6.83,692.33,-0.34,267.88,33,0.97
tidewater,9,255,5.54,813.1,0.17,287.37,31,0.97
tideway,7,30,3.4,817.45,0.2,410.74,29,0.83
tidied,6,69,4.23,899.7,0.33,476.35,20,0.61
tidiness,8,7,1.95,854.52,0.17,199.29,25,0.78
tidings,7,201,5.3,748.74,-0.06,213.76,27,0.79
tidy,4,815,6.7,704.59,-0.27,251.86,29,0.91
tidying,7,87,4.47,937.86,0.26,394.53,28,0.82
tie,3,14878,9.61,589.12,-0.72,176.73,34,1
tiebreak,8,45,3.81,769.45,0,210.14,29,0.88
tiebreaker,10,153,5.03,860.33,0.33,262.94,27,0.82
tied,4,11216,9.33,601.06,-0.67,133.27,32,0.94
tiepin,6,3,1.1,1122.25,1.06,394.91,8,0.24
tier,4,1352,7.21,755.65,0.11,189.88,23,0.7
tiered,6,149,5,1015.85,0.73,330.93,13,0.38
tiers,5,1090,6.99,900.6,0.34,306.44,25,0.71
ties,4,7041,8.86,591,-0.59,97.3,32,0.94
tiff,4,2981,8,678.45,-0.24,168.71,11,0.34
tiger,5,5393,8.59,596.24,-0.68,192.63,33,0.97
tigers,6,2760,7.92,629.09,-0.63,235.23,32,1
tiger's,7,161,5.08,631.19,-0.53,198.48,32,0.97
tight,5,19366,9.87,612.37,-0.63,241.06,35,1
tighten,7,1648,7.41,695.97,-0.32,229.95,34,1
tightened,9,1173,7.07,755.59,0.02,245.58,32,0.94
tightening,10,950,6.86,784.9,-0.16,298.44,31,0.91
tighter,7,1837,7.52,704.59,-0.33,338.54,32,0.97
tightest,8,151,5.02,675.06,-0.33,231.95,31,0.97
tightfisted,11,4,1.39,997.04,0.8,298.95,23,0.68
tightly,7,4669,8.45,666.53,-0.48,324.45,32,0.94
tightrope,9,169,5.13,934.5,0.41,493.83,32,0.94
tightwad,8,70,4.25,829.5,0.18,343.34,24,0.71
tigress,7,255,5.54,912.69,0.24,517.55,16,0.48
Tijuana,7,353,5.87,985.14,0.61,359.85,22,0.71
tile,4,1327,7.19,635.27,-0.57,209.79,33,0.97
tiled,5,358,5.88,740.6,-0.1,228.01,30,0.88
tiles,5,1269,7.15,718.66,-0.4,355.1,32,0.97
till,4,17332,9.76,656.36,-0.46,257.68,28,0.88
tilled,6,66,4.19,832.48,0.11,316.86,25,0.76
tiller,6,309,5.73,721.28,0.04,262.12,18,0.53
tilling,7,51,3.93,733.71,-0.16,276.11,24,0.73
tilt,4,2136,7.67,728.88,-0.4,264.53,33,1
tilted,6,944,6.85,633.84,-0.48,138.34,31,0.94
tilth,5,18,2.89,726.25,-0.36,188.5,4,0.13
tilting,7,536,6.28,773,0.18,293.82,31,0.91
tilts,5,196,5.28,749.06,-0.2,341.14,33,0.97
Tim,3,36110,10.49,645.27,-0.46,215.9,33,1
timber,6,4325,8.37,700.19,-0.43,282.86,32,0.94
timbered,8,18,2.89,775.66,-0.02,411.23,29,0.91
timberlands,11,12,2.48,788.74,0.05,258.15,31,0.91
timberline,10,627,6.44,878.95,0.19,340.33,19,0.63
timbers,7,131,4.88,642.81,-0.4,182.62,31,0.97
timbre,6,213,5.36,820.61,0.38,356.23,18,0.53
time,4,788823,13.58,530.15,-0.94,119.74,34,1
timed,5,2509,7.83,643.45,-0.41,171.47,33,0.97
timekeeper,10,98,4.58,661.26,-0.33,137.61,34,1
timeless,8,809,6.7,601.33,-0.57,133.55,33,0.97
timeliness,10,187,5.23,850.58,0.05,434.96,33,0.97
timely,6,4301,8.37,684.62,-0.51,268.18,34,0.97
timepiece,9,33,3.5,788.88,0.04,279.9,33,0.97
timer,5,6360,8.76,616.28,-0.56,212.94,32,0.97
timers,6,1585,7.37,677.72,-0.44,212.03,32,0.94
times,5,156832,11.96,570.16,-0.74,178.84,31,1
time's,6,784,6.66,649.48,-0.51,235.44,33,1
timesaving,10,2,0.69,804.94,0.06,290.66,34,0.97
timetable,9,795,6.68,698.81,-0.29,204.94,32,0.97
timetables,10,297,5.69,751.58,0.06,229.27,33,0.97
timeworn,8,15,2.71,902.2,0.63,216.49,20,0.65
Timex,5,327,5.79,752.27,-0.16,226.97,33,0.97
timid,5,739,6.61,790.41,-0.22,459.71,32,1
timidity,8,141,4.95,683.92,-0.27,223.22,26,0.79
timidly,7,97,4.57,745.1,-0.2,194.58,31,0.94
timing,6,11279,9.33,649.5,-0.39,184.75,34,1
Timmy,5,866,6.76,669.27,-0.31,130.85,33,0.97
timorous,8,20,3,855.47,0.12,258.31,15,0.47
Timothy,7,9549,9.16,756.39,-0.2,330.78,33,0.94
timpani,7,91,4.51,1076.8,0.81,431.53,10,0.3
Tim's,5,797,6.68,648.64,-0.52,207.79,33,1
tin,3,11849,9.38,598.44,-0.63,117.9,34,1
tincture,8,163,5.09,900.22,0.69,316.52,9,0.29
tinder,6,277,5.62,694.6,-0.21,243.74,15,0.44
tinderbox,9,48,3.87,841.38,0.15,237.9,24,0.69
tines,5,188,5.24,739.5,-0.1,313.44,10,0.29
tinfoil,7,82,4.41,819.07,0.01,361.13,28,0.85
tinge,5,288,5.66,792.95,0.14,273.16,20,0.61
tingle,6,321,5.77,705.59,-0.2,260.07,34,1
tingling,8,601,6.4,765.59,-0.02,327.34,29,0.91
tiniest,7,365,5.9,773.83,0.11,196.94,24,0.77
tinker,6,860,6.76,697.72,-0.23,206.19,25,0.78
tinkering,9,727,6.59,774.9,-0.01,321.2,29,0.85
tinkers,7,62,4.13,847.19,0.14,362.64,26,0.76
tinkle,6,80,4.38,671.29,-0.38,229.06,31,0.97
tinkled,7,14,2.64,783.9,-0.18,365.31,31,0.94
tinkling,8,62,4.13,826.93,0.08,378.55,29,0.91
tinning,7,27,3.3,874.45,0.04,368.51,11,0.33
tinny,5,203,5.31,774.92,-0.13,236.62,13,0.37
tinplate,8,197,5.28,1149.25,1.23,379.91,8,0.23
tinsel,6,141,4.95,770.88,0.02,293.38,25,0.78
tinsmith,8,3,1.1,987.18,0.74,383.65,11,0.35
tint,4,515,6.24,589.18,-0.53,190.95,33,0.97
tintable,8,0,0,1025.53,0.68,384.88,15,0.47
tinted,6,446,6.1,698,-0.31,334.51,32,0.97
tints,5,64,4.16,670.33,-0.38,194.67,27,0.84
tintype,7,1,0,805,0.85,415.95,5,0.17
tiny,4,15764,9.67,604.97,-0.63,212.22,33,0.94
tip,3,14596,9.59,615.79,-0.62,214.92,33,0.97
tipoff,6,75,4.32,784.78,0.03,295.42,27,0.82
Tippecanoe,10,28,3.33,1072.63,1.14,434.33,8,0.27
tipped,6,1085,6.99,682,-0.38,243.38,29,0.88
tipper,6,254,5.54,713.32,-0.28,300.27,25,0.76
tipping,7,657,6.49,669.16,-0.29,165.51,31,0.94
tips,4,17439,9.77,582.79,-0.59,164.18,34,1
tipsy,5,86,4.45,655.42,-0.39,124.89,31,0.91
tiptoe,6,223,5.41,722.79,-0.15,315.79,33,0.97
tiptoeing,9,41,3.71,907.42,0.25,374.72,31,0.91
tirade,6,619,6.43,893.48,0.41,333.68,21,0.64
tirades,7,264,5.58,791.57,0.08,202.71,21,0.64
tire,4,6155,8.73,591.34,-0.65,133.99,32,0.94
tired,5,19063,9.86,578.73,-0.77,225.25,33,0.97
tiredly,7,50,3.91,779.66,-0.13,340.1,29,0.91
tiredness,9,141,4.95,705.83,-0.36,222.95,30,1
tireless,8,292,5.68,735.3,-0.16,335.16,33,0.97
tirelessly,10,182,5.2,833.83,0.11,395.41,30,0.91
tires,5,8115,9,559.15,-0.74,85.6,34,1
tiresome,8,938,6.84,689.76,-0.31,166.83,33,0.97
tiring,6,756,6.63,717.52,-0.19,190.93,27,0.79
tissue,6,14342,9.57,634.47,-0.57,271.04,34,1
tissues,7,1399,7.24,666.09,-0.47,231.28,32,0.97
tit,3,1124,7.02,757.32,-0.1,293.68,25,0.78
titan,5,2713,7.91,742.48,-0.01,328.4,31,0.97
titanic,7,765,6.64,587.91,-0.6,98.67,34,1
titanium,8,1257,7.14,687.57,-0.08,155.53,30,0.97
titans,6,1904,7.55,642.47,-0.55,172.36,32,0.91
titer,5,76,4.33,671.8,-0.16,286.23,5,0.16
titers,6,61,4.11,719.71,0.29,171.58,7,0.22
tithe,5,316,5.76,865.57,0.29,237.41,21,0.62
tithes,6,177,5.18,843.73,0.31,193.02,15,0.43
titillate,9,34,3.53,891.3,0.42,325.27,23,0.74
titillating,11,102,4.62,1038,0.76,575.87,15,0.5
titillation,11,64,4.16,994.71,0.93,375.85,17,0.53
title,5,79977,11.29,630,-0.68,247.99,32,0.94
titled,6,6297,8.75,727.97,-0.27,288.54,30,0.94
titleholder,11,14,2.64,987.17,0.77,402.24,23,0.79
titles,6,21394,9.97,665.24,-0.39,220.78,33,1
titmouse,8,39,3.66,1083.13,0.74,502.64,8,0.24
titration,9,73,4.29,855,0.2,187.77,15,0.44
tits,4,5535,8.62,785.77,0.08,248.61,31,0.91
titter,6,27,3.3,766.52,0.27,224.71,21,0.64
titters,7,13,2.56,860.77,0.31,246.02,13,0.38
titular,7,276,5.62,738.67,0.16,211.93,9,0.26
tizzy,5,119,4.78,969.45,0.41,503.58,11,0.33
to,2,12661276,16.35,551.27,-0.79,145.11,33,1
toad,4,1692,7.43,657.45,-0.53,188.63,33,1
toadies,7,129,4.86,702.19,-0.08,154.43,16,0.47
toadstool,9,38,3.64,705.33,-0.11,197.3,30,0.86
toady,5,104,4.64,840.13,0.32,294.65,16,0.47
toast,5,3064,8.03,600.88,-0.62,299.13,34,1
toasted,7,759,6.63,588.47,-0.68,117.01,32,0.97
toaster,7,1937,7.57,595.13,-0.6,105.04,32,1
toasting,8,229,5.43,664.94,-0.53,318.77,32,0.91
toastrack,9,0,0,1127.33,0.73,606.19,3,0.09
tobacco,7,5750,8.66,644.71,-0.4,176.18,34,1
tobacconist,11,7,1.95,883.82,0.74,326.75,11,0.38
Tobago,6,381,5.94,1051.64,0.68,401.42,11,0.34
toboggan,8,74,4.3,920.89,0.66,347.83,18,0.58
today,5,103604,11.55,566.09,-0.7,123.76,32,0.97
today's,7,13651,9.52,596.83,-0.65,181.19,30,0.97
Todd,4,14694,9.6,698.15,-0.39,254.39,34,1
toddle,6,32,3.47,738.11,-0.14,246.12,18,0.6
toddler,7,1032,6.94,643.49,-0.48,156.26,35,1
toddlers,8,630,6.45,622.36,-0.45,108.64,33,0.97
toddy,5,96,4.56,714.25,0.1,208.21,4,0.12
toe,3,4548,8.42,606.69,-0.59,246.84,32,0.97
toehold,7,42,3.74,1095.17,0.74,572.22,18,0.55
toenail,7,134,4.9,831.21,0.19,323.07,33,0.97
toes,4,4548,8.42,566.76,-0.71,161.55,33,1
toffee,6,100,4.61,810.81,0.24,228.25,16,0.47
tofu,4,911,6.81,722.38,-0.22,256.39,26,0.76
toga,4,1064,6.97,696.43,-0.25,185.35,28,0.85
together,8,90238,11.41,592.85,-0.68,151.91,34,1
togetherness,12,112,4.72,921.03,0.26,365.33,29,0.88
toggle,6,1962,7.58,700.27,-0.18,199.63,22,0.65
togs,4,30,3.4,722.4,-0.19,309.05,10,0.3
toil,4,369,5.91,653.75,-0.42,164.85,28,0.88
toiled,6,79,4.37,697.54,-0.13,191.12,28,0.88
toilet,6,5523,8.62,630.76,-0.69,167.85,34,1
toiletry,8,14,2.64,851.48,0.06,435.08,27,0.82
toilets,7,745,6.61,620.06,-0.6,202.3,33,1
toilsome,8,1,0,854.59,0.35,325.13,22,0.65
token,5,7311,8.9,560.53,-0.68,91.05,34,1
tokenish,8,0,0,745,0.4,367.89,11,0.34
tokens,6,1738,7.46,686.41,-0.51,210.56,32,0.94
Tokyo,5,7174,8.88,712.34,-0.23,196.67,35,1
told,4,104947,11.56,599.97,-0.75,171.81,33,0.97
tolerable,9,971,6.88,705.55,-0.26,245.73,33,0.97
tolerance,9,5156,8.55,673.82,-0.44,330.29,33,1
tolerant,8,2573,7.85,704.38,-0.37,255.96,34,1
tolerate,8,3816,8.25,653.18,-0.53,178.59,33,0.97
tolerated,9,1816,7.5,714.88,-0.34,329.9,34,1
tolerating,10,271,5.6,833.88,-0.03,316.63,32,0.97
toleration,10,294,5.68,715.3,-0.13,249.64,30,0.94
toll,4,7570,8.93,666.72,-0.45,200.79,29,0.85
tolled,6,25,3.22,909.05,0.25,265.1,19,0.58
tollgate,8,1,0,825,0.15,284.37,16,0.47
tollhouse,9,4,1.39,756.69,-0.19,187.76,26,0.79
tolls,5,440,6.09,746.96,-0.09,219.64,26,0.84
Tolstoy,7,266,5.58,764.65,0.09,251.93,17,0.53
Tolstoy's,9,52,3.95,915.26,0.43,388.2,23,0.68
Tom,3,62374,11.04,613.36,-0.65,277.73,33,0.97
tomahawk,8,331,5.8,802.68,0.28,182.11,25,0.74
